name index
Bi,3,Ni,0.95,Fe,0.05 218.0
La,1,Fe,0.9,Mn,0.1,As,1,O,1 219.0
Mg,1,C,1,Ni,2.975,Fe,0.025 220.0
Sm,1,Fe,0.98,Ni,0.02,As,1,O,1 221.0
La,0.8,Na,0.2,Fe,1,As,1,F,0.2,O,0.8 222.0
La,1,Fe,0.9997,Mn,0.00025,As,1,F,0.11,O,0.89 223.0
Fe,0.98,Ni,0.02,Se,0.3,Te,0.7 224.0
Ni,0.6,Fe,0.19,P,0.21 225.0
La,1.8,Sr,0.2,Cu,0.995,Fe,0.005,O,4 226.0
Ba,0.82,K,0.18,Fe,1.654,Co,0.346,As,2 227.0
Fe,1.05,Te,1 228.0
Gd,4,Fe,2,As,2,Te,0.9,O,4 229.0
Y,0.88,Ca,0.12,Sr,2,Cu,2.5,Fe,0.5,O,6.89 230.0
La,1.85,Sr,0.15,Cu,0.985,Fe,0.015,O,4 231.0
